UniqueID,site_id,lat,lon,pft
1301797,8773c58306e8d9a0,32.71585,-115.47163,annual crop
1300446,f2ce12d75f3b2cc6,32.75557,-115.41586,annual crop
1303893,6fc4cac215be0705,32.76887,-115.57358,annual crop
1308022,7bbdad271ed502db,32.7755,-115.40383,annual crop
1307459,36c0ce814a9688e4,32.79792,-115.30592,annual crop
1304607,301bbdabfeeca8db,32.80027,-115.51625,annual crop
1306405,b0cc94533ba2b1f0,33.10033,-115.43671,annual crop
1306761,ca601db78178679a,33.18742,-115.48613,annual crop
3312652,fbc6cd79aa048b05,33.52919,-114.56727,annual crop
3306161,139b0e8868923eb8,33.54674,-114.71593,annual crop
3304048,922c6a68452fc8ca,33.57847,-116.03879,annual crop
3304650,30fdb422bceeeedb,33.84184,-117.01405,annual crop
5613504,97d82456aa198af6,34.12896,-119.13588,annual crop
5601416,c8021a7adbd0f0e2,34.15523,-119.07796,annual crop
5614743,9295820af0a10e1d,34.18363,-119.11175,annual crop
5603011,6fefc1fcb9c8e464,34.20296,-119.09146,annual crop
5613341,6055716d4210bf35,34.21075,-119.24137,annual crop
5603993,ddbdb53e6fcf0ca1,34.43232,-119.31422,annual crop
4209359,a89b3d838b4c7860,34.62273,-120.02083,annual crop
4205349,5b5603ac6c281b50,34.78812,-120.43311,annual crop
4011908,e486b7c9a1343b84,34.98172,-120.5523,annual crop
4010486,3c2c435e77d7b0ea,35.08948,-120.58903,annual crop
1518362,bb622fd1e21955a4,35.12894,-118.58115,annual crop
4011045,3109e15b126d31ab,35.13826,-120.51548,annual crop
4009120,7fa45795fbd5f436,35.14573,-120.53684,annual crop
1518439,b698c76bbfddfe7f,35.20522,-119.11233,annual crop
1518958,f8536d1c22b6ce7e,35.45825,-119.32789,annual crop
1517119,8c2a4c220bba15a9,35.67697,-118.2591,annual crop
5424970,7e870c6692619f9a,35.95568,-119.23712,annual crop
5413691,a88d10858574320c,36.08904,-119.16801,annual crop
5417984,a8666f289cdb29fc,36.18533,-119.30574,annual crop
5407156,b395f792fe19ad47,36.27344,-119.37709,annual crop
1600057,3f9e2e9da147e821,36.29281,-119.5864,annual crop
2705056,02f8ecd6d492badc,36.30494,-121.16543,annual crop
2707824,e851b358902a0c78,36.33377,-121.25771,annual crop
2702091,85cd30a1d454404e,36.38188,-121.33113,annual crop
2708238,0de4e1e230754eb8,36.39065,-121.30012,annual crop
5423174,e965173d43abe95b,36.45436,-119.29039,annual crop
1019250,af981f5dbbfe5f7f,36.49954,-119.61152,annual crop
2711288,ac69d3083808f403,36.65592,-121.6045,annual crop
2712297,d49fa798b11d00e3,36.69189,-121.70652,annual crop
1015509,1166d305b963968f,36.70175,-119.80375,annual crop
1030090,f7f7febde5b6504e,36.75672,-120.20252,annual crop
1002672,2f9bf5c8fea8f0bf,36.78353,-119.56569,annual crop
1008876,6e30ed9f8e72a777,36.79489,-119.53708,annual crop
2710210,d98dac9c17d8ecef,36.86857,-121.7761,annual crop
3500047,0633a0f257ea79ca,36.87747,-121.3747,annual crop
2713696,b97e310a97d5449d,36.89654,-121.69318,annual crop
4401113,b3ed7ece68eabba6,36.92991,-121.73205,annual crop
2411477,841462dcb78ab4a1,37.11778,-120.56257,annual crop
4302276,9ae004848ad220b9,37.16367,-121.69841,annual crop
2403740,5658557ef71b8d43,37.1862,-120.33464,annual crop
2409349,252448a48135ff4c,37.27926,-121.03566,annual crop
2414164,cadbfc53b64fb024,37.33403,-120.86818,annual crop
2412814,b91359c48db7a3ac,37.34097,-120.68625,annual crop
4100274,16b3df611a6d9df6,37.376,-122.2249,annual crop
2402144,640f384688a4e591,37.42769,-120.83345,annual crop
2412799,2eab840584d9a6ea,37.45028,-120.82393,annual crop
5004008,a749a5393e2d0a9a,37.69577,-121.08735,annual crop
5005000,1c407a0bbabd14a2,37.74443,-120.88007,annual crop
