"field_id","id","lat","lon","site.pft","name"
"1301797","8773c58306e8d9a0",32.71585,-115.47163,"grass","8773c58306e8d9a0"
"1300446","f2ce12d75f3b2cc6",32.75557,-115.41586,"grass","f2ce12d75f3b2cc6"
"1303893","6fc4cac215be0705",32.76887,-115.57358,"grass","6fc4cac215be0705"
"1308022","7bbdad271ed502db",32.7755,-115.40383,"grass","7bbdad271ed502db"
"1307459","36c0ce814a9688e4",32.79792,-115.30592,"grass","36c0ce814a9688e4"
"1304607","301bbdabfeeca8db",32.80027,-115.51625,"grass","301bbdabfeeca8db"
"1306405","b0cc94533ba2b1f0",33.10033,-115.43671,"grass","b0cc94533ba2b1f0"
"1306761","ca601db78178679a",33.18742,-115.48613,"grass","ca601db78178679a"
"3312652","fbc6cd79aa048b05",33.52919,-114.56727,"grass","fbc6cd79aa048b05"
"3306161","139b0e8868923eb8",33.54674,-114.71593,"grass","139b0e8868923eb8"
"3304048","922c6a68452fc8ca",33.57847,-116.03879,"grass","922c6a68452fc8ca"
"3304650","30fdb422bceeeedb",33.84184,-117.01405,"grass","30fdb422bceeeedb"
"5613504","97d82456aa198af6",34.12896,-119.13588,"grass","97d82456aa198af6"
"5601416","c8021a7adbd0f0e2",34.15523,-119.07796,"grass","c8021a7adbd0f0e2"
"5614743","9295820af0a10e1d",34.18363,-119.11175,"grass","9295820af0a10e1d"
"5603011","6fefc1fcb9c8e464",34.20296,-119.09146,"grass","6fefc1fcb9c8e464"
"5613341","6055716d4210bf35",34.21075,-119.24137,"grass","6055716d4210bf35"
"5603993","ddbdb53e6fcf0ca1",34.43232,-119.31422,"grass","ddbdb53e6fcf0ca1"
"4209359","a89b3d838b4c7860",34.62273,-120.02083,"grass","a89b3d838b4c7860"
"4205349","5b5603ac6c281b50",34.78812,-120.43311,"grass","5b5603ac6c281b50"
"4011908","e486b7c9a1343b84",34.98172,-120.5523,"grass","e486b7c9a1343b84"
"4010486","3c2c435e77d7b0ea",35.08948,-120.58903,"grass","3c2c435e77d7b0ea"
"1518362","bb622fd1e21955a4",35.12894,-118.58115,"grass","bb622fd1e21955a4"
"4011045","3109e15b126d31ab",35.13826,-120.51548,"grass","3109e15b126d31ab"
"4009120","7fa45795fbd5f436",35.14573,-120.53684,"grass","7fa45795fbd5f436"
"1518439","b698c76bbfddfe7f",35.20522,-119.11233,"grass","b698c76bbfddfe7f"
"1518958","f8536d1c22b6ce7e",35.45825,-119.32789,"grass","f8536d1c22b6ce7e"
"1517119","8c2a4c220bba15a9",35.67697,-118.2591,"grass","8c2a4c220bba15a9"
"5424970","7e870c6692619f9a",35.95568,-119.23712,"grass","7e870c6692619f9a"
"5413691","a88d10858574320c",36.08904,-119.16801,"grass","a88d10858574320c"
"5417984","a8666f289cdb29fc",36.18533,-119.30574,"grass","a8666f289cdb29fc"
"5407156","b395f792fe19ad47",36.27344,-119.37709,"grass","b395f792fe19ad47"
"1600057","3f9e2e9da147e821",36.29281,-119.5864,"grass","3f9e2e9da147e821"
"2705056","02f8ecd6d492badc",36.30494,-121.16543,"grass","02f8ecd6d492badc"
"2707824","e851b358902a0c78",36.33377,-121.25771,"grass","e851b358902a0c78"
"2702091","85cd30a1d454404e",36.38188,-121.33113,"grass","85cd30a1d454404e"
"2708238","0de4e1e230754eb8",36.39065,-121.30012,"grass","0de4e1e230754eb8"
"5423174","e965173d43abe95b",36.45436,-119.29039,"grass","e965173d43abe95b"
"1019250","af981f5dbbfe5f7f",36.49954,-119.61152,"grass","af981f5dbbfe5f7f"
"2711288","ac69d3083808f403",36.65592,-121.6045,"grass","ac69d3083808f403"
"2712297","d49fa798b11d00e3",36.69189,-121.70652,"grass","d49fa798b11d00e3"
"1015509","1166d305b963968f",36.70175,-119.80375,"grass","1166d305b963968f"
"1030090","f7f7febde5b6504e",36.75672,-120.20252,"grass","f7f7febde5b6504e"
"1002672","2f9bf5c8fea8f0bf",36.78353,-119.56569,"grass","2f9bf5c8fea8f0bf"
"1008876","6e30ed9f8e72a777",36.79489,-119.53708,"grass","6e30ed9f8e72a777"
"2710210","d98dac9c17d8ecef",36.86857,-121.7761,"grass","d98dac9c17d8ecef"
"3500047","0633a0f257ea79ca",36.87747,-121.3747,"grass","0633a0f257ea79ca"
"2713696","b97e310a97d5449d",36.89654,-121.69318,"grass","b97e310a97d5449d"
"4401113","b3ed7ece68eabba6",36.92991,-121.73205,"grass","b3ed7ece68eabba6"
"2411477","841462dcb78ab4a1",37.11778,-120.56257,"grass","841462dcb78ab4a1"
"4302276","9ae004848ad220b9",37.16367,-121.69841,"grass","9ae004848ad220b9"
"2403740","5658557ef71b8d43",37.1862,-120.33464,"grass","5658557ef71b8d43"
"2409349","252448a48135ff4c",37.27926,-121.03566,"grass","252448a48135ff4c"
"2414164","cadbfc53b64fb024",37.33403,-120.86818,"grass","cadbfc53b64fb024"
"2412814","b91359c48db7a3ac",37.34097,-120.68625,"grass","b91359c48db7a3ac"
"4100274","16b3df611a6d9df6",37.376,-122.2249,"grass","16b3df611a6d9df6"
"2402144","640f384688a4e591",37.42769,-120.83345,"grass","640f384688a4e591"
"2412799","2eab840584d9a6ea",37.45028,-120.82393,"grass","2eab840584d9a6ea"
"5004008","a749a5393e2d0a9a",37.69577,-121.08735,"grass","a749a5393e2d0a9a"
"5005000","1c407a0bbabd14a2",37.74443,-120.88007,"grass","1c407a0bbabd14a2"
"3909993","f622269b4af08ffe",37.79911,-121.49169,"grass","f622269b4af08ffe"
"5003326","17f4b71353e99733",37.82475,-120.67878,"grass","17f4b71353e99733"
"3901124","58a39bd688496479",37.82917,-121.04874,"grass","58a39bd688496479"
"3902257","829b943224934d75",37.85302,-121.29026,"grass","829b943224934d75"
"3900024","629195fe5cadee05",37.89266,-121.30972,"grass","629195fe5cadee05"
"0701315","5bbdd579f1ee9f19",37.9064,-121.58376,"grass","5bbdd579f1ee9f19"
"0701169","9c15afc53357714b",37.95167,-121.67676,"grass","9c15afc53357714b"
"3910950","1e782bbd9aba2833",37.96339,-121.41258,"grass","1e782bbd9aba2833"
"0500459","eb70a6c8b0f58ea8",38.08514,-120.47661,"grass","eb70a6c8b0f58ea8"
"0500297","b0aad0a7d69598b0",38.18682,-120.82394,"grass","b0aad0a7d69598b0"
"3403466","b4c14ae3bec001c1",38.25789,-121.2001,"grass","b4c14ae3bec001c1"
"4800963","bd24018cde78901b",38.29991,-121.78208,"grass","bd24018cde78901b"
"4804682","299f79b1e03bf3eb",38.35436,-121.83418,"grass","299f79b1e03bf3eb"
"5705583","dc9179b07c8ed8a7",38.36642,-121.59721,"grass","dc9179b07c8ed8a7"
"5701986","167ab5fc67d3d4d3",38.57421,-121.78019,"grass","167ab5fc67d3d4d3"
"3405105","69c398daff357da0",38.62267,-121.53812,"grass","69c398daff357da0"
"3102743","3f80ff62fe2838ad",38.86665,-121.40978,"grass","3f80ff62fe2838ad"
"3102385","190922c49a44f9aa",38.96796,-121.26205,"grass","190922c49a44f9aa"
"5100179","31e6da9168656711",38.97407,-121.66474,"grass","31e6da9168656711"
"5803501","578966bf4bfb4cfd",39.07784,-121.49638,"grass","578966bf4bfb4cfd"
"2900303","7935e2f555cdf9bb",39.13701,-121.15666,"grass","7935e2f555cdf9bb"
"0604034","c75e6dd82a4bdfa3",39.13847,-121.97803,"grass","c75e6dd82a4bdfa3"
"5101698","5a62bd8c14b93fc6",39.16234,-121.68997,"grass","5a62bd8c14b93fc6"
"2900254","a98a5fe94a51c5a5",39.17197,-121.1941,"grass","a98a5fe94a51c5a5"
"5103028","84bb575f8c8fb657",39.26372,-121.88491,"grass","84bb575f8c8fb657"
"0603115","e59dbefe9c9236ff",39.27161,-122.21843,"grass","e59dbefe9c9236ff"
"0403485","dc98b4e761edc53a",39.35259,-121.83374,"grass","dc98b4e761edc53a"
"1104895","e19e245fdad78def",39.55064,-122.15473,"grass","e19e245fdad78def"
"4600048","df901934f52831d6",39.59935,-120.35656,"grass","df901934f52831d6"
"0403397","848b12bacff089ef",39.68882,-121.82083,"grass","848b12bacff089ef"
"4500961","4e5a039db65ad456",40.50238,-122.32069,"grass","4e5a039db65ad456"
"1201175","aa8c8cadf5efa20f",40.51496,-124.02349,"grass","aa8c8cadf5efa20f"
"4501224","c3cc92790e82238f",40.63064,-121.90013,"grass","c3cc92790e82238f"
"1200468","b88961b09985da28",40.72994,-124.18378,"grass","b88961b09985da28"
"1801128","803cd0235a410598",40.92088,-120.55699,"grass","803cd0235a410598"
"4500613","9e9b2e8dd0670374",41.0422,-121.47316,"grass","9e9b2e8dd0670374"
"1802573","507ebd1c6e9f5d14",41.14991,-120.97333,"grass","507ebd1c6e9f5d14"
"2502746","41e40eb7f9b60788",41.54258,-120.46489,"grass","41e40eb7f9b60788"
"4702940","5433838600b8edc0",41.54862,-122.51858,"grass","5433838600b8edc0"
"4703655","72d745ad8741be18",41.62203,-122.78298,"grass","72d745ad8741be18"
"3707491","b8b2dd94a7c44662",33.35306,-117.19182,"temperate.deciduous","b8b2dd94a7c44662"
"3312395","ebb783e86d2ac6fb",33.57847,-116.03157,"temperate.deciduous","ebb783e86d2ac6fb"
"3312961","6328b22167f31aad",33.86884,-117.40838,"temperate.deciduous","6328b22167f31aad"
"3306059","df703141000c59c9",33.90119,-117.40624,"temperate.deciduous","df703141000c59c9"
"3311313","9c562bb603f3b156",33.96727,-117.34049,"temperate.deciduous","9c562bb603f3b156"
"5604295","9a28cf783448dc03",34.29708,-119.06014,"temperate.deciduous","9a28cf783448dc03"
"5603719","d1dd970659a71943",34.37258,-119.03318,"temperate.deciduous","d1dd970659a71943"
"5603233","11aa82e47c15b8df",34.38596,-118.81446,"temperate.deciduous","11aa82e47c15b8df"
"5604628","5b18c5e0bebe449b",34.47244,-119.22015,"temperate.deciduous","5b18c5e0bebe449b"
"4203463","096c9eebd28d0280",34.91295,-120.40345,"temperate.deciduous","096c9eebd28d0280"
"1510506","dbb2c95a5cb30b5d",35.05618,-119.2735,"temperate.deciduous","dbb2c95a5cb30b5d"
"1516688","5e21d98f69f14285",35.49646,-119.72323,"temperate.deciduous","5e21d98f69f14285"
"1518251","cf9c2d9309d78058",35.65629,-119.97917,"temperate.deciduous","cf9c2d9309d78058"
"1511610","6616b64433b71c3c",35.77284,-119.09088,"temperate.deciduous","6616b64433b71c3c"
